"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.74","0.10","    NA",NA,"   NA",-17.9311534675572,6.73674614876262e-72
"conditionself-ordered"," 0.01","0.08","  0.02",1,"0.897",0.129361255115125,0.89707180396687
"z.lag.from.last.choice"," 1.07","0.04","165.82",1,"<0.001",27.7293150484479,3.09518087141319e-169
"z.duration_from_1st_choice"," 0.01","0.04","  0.08",1,"0.775",0.288123239970334,0.773252403661958
"any.error.earlier1"," 0.17","0.09","  3.52",1,"0.060",1.89167504125083,0.0585342907509967
"sexm","-0.06","0.10","  0.36",1,"0.550",-0.597624704891137,0.550090376122163
"z.age"," 0.09","0.05","  3.41",1,"0.065",1.89057503931491,0.0586810948498255
"z.trial_number","-0.06","0.04","  2.35",1,"0.125",-1.53572231173438,0.124606500495196
"z.session","-0.05","0.04","  1.60",1,"0.206",-1.26356984848459,0.206384461441433
